Neuron_ID,Neuron_Label,A,Region_A,B,Region_B,C,Region_C
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-splen-2,neuron type splen 2,http://purl.obolibrary.org/obo/UBERON_0002870,dorsal motor nucleus of vagus nerve,http://purl.obolibrary.org/obo/UBERON_0038727,juxta-intestinal mesenteric lymph node,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-splen-4,neuron type splen 4,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0000468,multicellular organism,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-splen-4,neuron type splen 4,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-sstom-5,neuron type sstom 5,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009960,esophagus smooth muscle circular layer,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-sstom-5,neuron type sstom 5,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009961,esophagus smooth muscle longitudinal layer,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-sstom-5,neuron type sstom 5,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0013473,lower esophagus,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-sstom-5,neuron type sstom 5,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0001199,mucosa of stomach,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-sstom-5,neuron type sstom 5,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://uri.interlex.org/base/ilx_0793656,myenteric nerve plexus of stomach,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-sstom-5,neuron type sstom 5,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0009050,nucleus of solitary tract,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
http://uri.interlex.org/tgbugs/uris/readable/neuron-type-sstom-5,neuron type sstom 5,http://purl.obolibrary.org/obo/UBERON_0005363,inferior vagus X ganglion,http://purl.obolibrary.org/obo/UBERON_0008857,stomach smooth muscle circular layer,http://purl.obolibrary.org/obo/UBERON_0001759,vagus nerve
